Project: FIRBU_AM
Revision: FIRBU_AM
Flow Start Date: Thu Oct 11 10:04:31 EEST 2012
Flow End Date: Thu Oct 11 10:19:38 EEST 2012

Detailed Results
Point,base-slow-1200mV-85C,base-slow-1200mV-0C,base-fast-1200mV-0C,1-slow-1200mV-85C,1-slow-1200mV-0C,1-fast-1200mV-0C (Best),2-slow-1200mV-85C,2-slow-1200mV-0C,2-fast-1200mV-0C,3-slow-1200mV-85C,3-slow-1200mV-0C,3-fast-1200mV-0C,4-slow-1200mV-85C,4-slow-1200mV-0C,4-fast-1200mV-0C
All Failing Paths,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,unknown,unknown,unknown
Clock Hold: 'altera_reserved_tck': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Hold: 'altera_reserved_tck': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Hold: 'altera_reserved_tck': Worst-case Slack,0.452 ns,0.401 ns,0.183 ns,0.452 ns,0.400 ns,0.183 ns,0.452 ns,0.400 ns,0.184 ns,0.452 ns,0.401 ns,0.184 ns,unknown,unknown,unknown
Clock Hold: 'CLK': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Hold: 'CLK': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Hold: 'CLK': Worst-case Slack,0.400 ns,0.380 ns,0.128 ns,0.304 ns,0.292 ns,0.087 ns,0.395 ns,0.380 ns,0.126 ns,0.394 ns,0.384 ns,0.131 ns,unknown,unknown,unknown
Clock Hold: 'pllSlowFATUnit|altpll_component|auto_generated|pll1|clk[0]': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Hold: 'pllSlowFATUnit|altpll_component|auto_generated|pll1|clk[0]': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Hold: 'pllSlowFATUnit|altpll_component|auto_generated|pll1|clk[0]': Worst-case Slack,0.453 ns,0.402 ns,0.187 ns,0.454 ns,0.401 ns,0.187 ns,0.453 ns,0.401 ns,0.186 ns,0.454 ns,0.402 ns,0.187 ns,unknown,unknown,unknown
